"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0U900","2020-02-19 00:00:00","63.000","231.000","1.900","12.300","0.760","1021.900","","0.000","-99.000","-99.000","-99.000","13.900","","8.300",""
"C0Z230","2020-02-19 00:00:00","31.000","314.000","4.400","14.400","0.590","1025.000","","0.000","-99.000","-99.000","-99.000","15.200","","9.500",""
"C0F9O0","2020-02-19 00:00:00","175.000","0.000","0.000","11.600","0.820","1003.500","","0.000","-99.000","-99.000","-99.000","20.200","","9.300",""
"C0C540","2020-02-19 00:00:00","46.000","56.000","2.500","12.300","0.670","1020.800","","0.000","-99.000","-99.000","-99.000","17.700","","9.000",""
"C0G770","2020-02-19 00:00:00","15.000","28.000","1.300","13.200","0.650","1023.000","","0.000","-99.000","-99.000","-99.000","20.000","","11.500",""
"C0V670","2020-02-19 00:00:00","20.000","338.000","2.300","15.800","0.730","1022.100","","0.000","-99.000","-99.000","-99.000","20.200","","12.100",""
"C0A870","2020-02-19 00:00:00","685.000","81.000","7.300","9.000","0.940","944.400","","0.000","-99.000","-99.000","-99.000","11.400","","6.800",""
"C0R220","2020-02-19 00:00:00","23.000","0.000","0.100","15.200","1.000","1022.000","","0.000","-99.000","-99.000","-99.000","21.300","","12.900",""
"C0Z220","2020-02-19 00:00:00","589.000","261.000","1.600","9.400","0.900","960.300","","0.000","-99.000","-99.000","-99.000","12.200","","4.700",""
"C0D560","2020-02-19 00:00:00","147.000","69.000","1.000","10.600","0.740","1008.400","","0.000","-99.000","-99.000","-99.000","17.500","","9.700",""
"C0I380","2020-02-19 00:00:00","258.000","0.000","0.000","11.400","0.970","993.600","","0.000","-99.000","-99.000","-99.000","20.600","","8.600",""
"C0Z020","2020-02-19 00:00:00","211.000","12.000","2.900","12.100","0.870","1001.900","","0.000","-99.000","-99.000","-99.000","12.800","","10.200",""
"C0Z190","2020-02-19 00:00:00","62.000","290.000","2.300","14.900","0.650","1020.000","","0.000","-99.000","-99.000","-99.000","15.600","","11.800",""
"C0C710","2020-02-19 00:00:00","143.000","0.000","0.200","8.700","0.880","1009.700","","0.000","-99.000","-99.000","-99.000","16.200","","8.600",""
"C0C680","2020-02-19 00:00:00","228.000","122.000","2.700","11.200","0.700","997.500","","0.000","-99.000","-99.000","-99.000","13.600","","7.100",""
"C0X140","2020-02-19 00:00:00","17.000","0.000","0.200","14.000","0.710","1022.200","","0.000","-99.000","-99.000","-99.000","21.800","","10.900",""
"C0V710","2020-02-19 00:00:00","34.000","337.000","2.600","17.000","0.710","1020.100","","0.000","-99.000","-99.000","-99.000","20.500","","13.400",""
"C0G840","2020-02-19 00:00:00","32.000","11.000","0.300","11.000","0.830","1020.700","","0.000","-99.000","-99.000","-99.000","21.700","","8.000",""
"C0S890","2020-02-19 00:00:00","238.000","2.000","1.700","12.700","0.760","1002.600","","0.000","-99.000","-99.000","-99.000","13.600","","11.100",""
"C0T820","2020-02-19 00:00:00","550.000","0.000","0.000","9.700","0.820","967.600","","0.000","-99.000","-99.000","-99.000","11.800","","8.300",""
"C0F9I0","2020-02-19 00:00:00","194.000","3.000","1.400","10.200","0.790","1001.100","","0.000","-99.000","-99.000","-99.000","17.900","","8.500",""
"C0C650","2020-02-19 00:00:00","208.000","56.000","2.300","11.200","0.720","1000.800","","0.000","7.400","48.000","","14.600","","8.100",""
"C0R600","2020-02-19 00:00:00","766.000","315.000","0.400","13.700","0.720","935.800","","0.000","-99.000","-99.000","-99.000","15.600","","10.900",""
"C0Z320","2020-02-19 00:00:00","646.000","0.000","0.000","8.500","1.000","951.700","","1.000","-99.000","-99.000","-99.000","10.400","","5.900",""
"C0V210","2020-02-19 00:00:00","734.000","0.000","0.000","12.600","0.810","941.400","","0.000","-99.000","-99.000","-99.000","19.000","","10.900",""
"C0K240","2020-02-19 00:00:00","1132.000","141.000","3.200","9.200","0.990","898.800","","0.000","-99.000","-99.000","-99.000","16.200","","8.600",""
"C0M520","2020-02-19 00:00:00","15.000","19.000","1.600","12.300","0.720","1022.500","","0.000","-99.000","-99.000","-99.000","20.500","","9.900",""
"C0A530","2020-02-19 00:00:00","300.000","58.000","1.200","9.100","0.990","991.600","","0.000","-99.000","-99.000","-99.000","12.800","","4.700",""
"C0E820","2020-02-19 00:00:00","220.000","208.000","0.800","6.600","0.920","999.500","","0.000","-99.000","-99.000","-99.000","16.900","","3.100",""
"C0K450","2020-02-19 00:00:00","35.000","359.000","1.700","12.400","0.640","1020.000","","0.000","-99.000","-99.000","-99.000","20.700","","10.000",""
"C0G760","2020-02-19 00:00:00","53.000","0.000","0.200","11.300","0.990","1021.400","","0.000","-99.000","-99.000","-99.000","20.800","","8.500",""
"CM0120","2020-02-19 00:00:00","4.000","51.000","3.300","13.600","0.640","1024.500","","0.000","-99.000","-99.000","-99.000","17.900","","11.700",""
"C0Z290","2020-02-19 00:00:00","946.000","0.000","0.000","8.200","0.890","919.000","","0.000","-99.000","-99.000","-99.000","8.300","","3.700",""
"C0V680","2020-02-19 00:00:00","40.000","6.000","1.700","15.200","0.770","1019.700","","0.000","-99.000","-99.000","-99.000","20.400","","11.200",""
"C0F9U0","2020-02-19 00:00:00","74.000","45.000","0.700","13.400","0.660","1015.800","","0.000","-99.000","-99.000","-99.000","20.800","","10.900",""
"C0AI10","2020-02-19 00:00:00","76.000","172.000","0.900","12.600","0.740","1016.900","","0.000","-99.000","-99.000","-99.000","15.400","","7.400",""
"C0V530","2020-02-19 00:00:00","34.000","1.000","0.900","13.700","0.960","1020.500","","0.000","-99.000","-99.000","-99.000","20.800","","10.100",""
"C0R550","2020-02-19 00:00:00","38.000","79.000","1.800","15.700","0.750","1020.600","","0.000","-99.000","-99.000","-99.000","21.900","","13.500",""
"C0F9L0","2020-02-19 00:00:00","253.000","49.000","1.600","10.600","0.840","994.300","","0.000","-99.000","-99.000","-99.000","19.200","","8.600",""
"C0A950","2020-02-19 00:00:00","60.000","82.000","6.400","14.600","0.590","1020.200","","0.000","-99.000","-99.000","-99.000","14.600","","11.800",""
"C0R160","2020-02-19 00:00:00","45.000","18.000","1.700","14.400","0.990","1018.600","","0.000","-99.000","-99.000","-99.000","22.200","","11.300",""
"C0F9S0","2020-02-19 00:00:00","43.000","360.000","1.600","12.500","0.680","1020.400","","0.000","-99.000","-99.000","-99.000","20.500","","10.400",""
"C0G870","2020-02-19 00:00:00","12.000","29.000","1.200","12.200","0.650","1024.600","","0.000","-99.000","-99.000","-99.000","19.400","","11.300",""
"C0R530","2020-02-19 00:00:00","16.000","41.000","1.700","16.400","0.670","1022.400","","0.000","-99.000","-99.000","-99.000","19.800","","13.100",""
"C0O840","2020-02-19 00:00:00","134.000","41.000","1.100","12.400","0.840","1007.100","","0.000","-99.000","-99.000","-99.000","20.100","","8.700",""
"C0A890","2020-02-19 00:00:00","40.000","0.000","0.000","10.700","0.940","1021.900","","0.000","-99.000","-99.000","-99.000","14.700","","6.800",""
"C0A660","2020-02-19 00:00:00","97.000","98.000","0.400","13.200","0.650","1015.200","","0.000","-99.000","-99.000","-99.000","14.400","","9.500",""
"C0T9H0","2020-02-19 00:00:00","725.000","327.000","1.100","9.700","0.870","943.900","","0.500","-99.000","-99.000","-99.000","9.700","","5.400",""
"C0R270","2020-02-19 00:00:00","51.000","37.000","0.900","18.200","0.630","1017.100","","1.000","-99.000","-99.000","-99.000","21.700","","15.100",""
